epoch,acc,loss,lr,val_acc,val_loss
0,0.6133873476890798,1.2952908272956596,1,0.3941625999560311,2.644814410489322
1,0.668538807659186,1.1055563436683047,1,0.5645888940908886,1.623381740180797
2,0.6916029821038959,1.0199220570354992,1,0.7264524435384554,0.899950386004689
3,0.7441303741604285,0.8438166412012528,1,0.774422244311762,0.752011960746367
4,0.7694733447461549,0.7498439195881522,1,0.8216554636938139,0.5945633606718188
5,0.7916167943026082,0.6789626923614653,1,0.8524997711686532,0.5114029741272963
6,0.8135760981655068,0.603597688940475,1,0.8174201274223282,0.5992263859737623
7,0.8270647275907187,0.566223400785501,1,0.8355584210776984,0.5546730352105516
8,0.8675075977390373,0.41684068431274296,0.0003162278,0.9156615452019617,0.3000751540625012
9,0.8870730167396291,0.36168942731324866,0.0003162278,0.9286437751333442,0.25745620732490226
10,0.8985360494997716,0.323488219337511,0.0003162278,0.9266181795123576,0.2562842470673583
11,0.9072369064467902,0.2930653200893579,0.0003162278,0.9326028955563382,0.24366103121624097
12,0.9147868562212264,0.27231093718052574,0.0003162278,0.9382193211461615,0.2216974658510489
13,0.9225439684994258,0.24656832942875642,0.0003162278,0.8920909704265098,0.36189789755391477
14,0.9245925830297625,0.23753582181052027,0.0003162278,0.9388638290622684,0.22004579030211932
15,0.9321885690121853,0.21274328948747045,0.0003162278,0.9211858989191192,0.26917284583123574
16,0.9327410043257287,0.20866283060867147,0.0003162278,0.9302090090202062,0.24640991331378492
17,0.9489687919375229,0.1585220613069213,0.000100000005,0.9522143499746517,0.17228728080691094
18,0.9512475877712142,0.15120004117535488,0.000100000005,0.9505570438858466,0.17914145745927457
19,0.9557361248343834,0.13790799425304565,0.000100000005,0.9524905671073239,0.17066488039974204
20,0.9567949583644356,0.13696735504706423,0.000100000005,0.9512936242673182,0.1753305291821128
21,0.9590277185471674,0.1298667773308818,0.000100000005,0.9504649714863374,0.17850833839566657
22,0.9620430941257279,0.12006024123224329,3.1622778e-05,0.9572783399820218,0.15495287909967115
23,0.9648973432960085,0.1075319094074331,3.1622778e-05,0.9579228478981288,0.15147790283882395
24,0.9635162549764782,0.11097199202178952,3.1622778e-05,0.9576466300410468,0.15358660987653963
25,0.9644830168506386,0.1114027562469125,3.1622778e-05,0.9572783400478773,0.15441780907304126
26,0.967866682932748,0.099918634233442,1.0000001e-05,0.9571862670556692,0.15419055321051467
27,0.9664395585451739,0.10367116734680082,1.0000001e-05,0.9585673557483801,0.14942325713500879
28,0.9670380298883455,0.10363662382256718,1.0000001e-05,0.9584752831513047,0.1478607780985003
29,0.9663705038476655,0.1031226750119516,1.0000001e-05,0.9580149201000717,0.15280926860829916
