epoch,acc,loss,lr,val_acc,val_loss
0,0.2728109765520369,2.782608339875654,0.01,0.2278795716029572,3.0727006611096552
1,0.4961099324394805,1.7629184865916414,0.01,0.5007826142817744,1.885836851321337
2,0.6175996672511979,1.294182162176574,0.01,0.690175858389968,1.047404923246728
3,0.6944572313873657,1.0180045367858157,0.01,0.6137556384560504,1.2902440194617801
4,0.7502762172122476,0.8174868741212228,0.01,0.7798545261891812,0.7349893086666276
5,0.7907190866046009,0.6823584023270035,0.01,0.8543412226930792,0.5032378356629736
6,0.820596630929331,0.5884227060740571,0.01,0.8333486799662114,0.556566883110065
7,0.8456403658887474,0.4982612961329552,0.01,0.8713746449091456,0.4177950761012473
8,0.8627428429861687,0.4428813358007882,0.01,0.8842648030337176,0.4037268792771523
9,0.8808581190026494,0.3832810403248876,0.01,0.8734002417155298,0.41459685489062
10,0.8948761656730833,0.3356899827560613,0.01,0.9311297353202385,0.24961309027859366
11,0.910229264306886,0.2866822338639718,0.01,0.9081115957979624,0.3172731776729922
12,0.915201182474518,0.27269953895433463,0.01,0.9140042397058555,0.3054257641915922
13,0.9391860831794725,0.19400159715463103,0.0031622776,0.9430991674081999,0.20466904132573357
14,0.9454700349169908,0.17304066276184538,0.0031622776,0.9456771987433504,0.19146321630704763
15,0.9506260981635267,0.15989907728642955,0.0031622776,0.702237362383523,1.0449885120379552
16,0.9534803467191568,0.1532653878047339,0.0031622776,0.9559893244132297,0.15732049267049977
17,0.9564727052350629,0.14203727507177927,0.0031622776,0.9295645014992319,0.23861196608787774
18,0.9597412806202195,0.1310223310633676,0.0031622776,0.916766415115615,0.2920983457987057
19,0.9620661123079244,0.12360232256051021,0.001,0.9591197908698453,0.14949673470666214
20,0.9650124337350277,0.11577795953208368,0.001,0.9590277185361915,0.14796516692806774
21,0.9666697399720073,0.10937280295436307,0.001,0.9602246617713298,0.143344152848371
22,0.9663244677384621,0.10821342606274596,0.001,0.9591197908039899,0.14676278703484605
23,0.9693628618038005,0.1035341077475444,0.001,0.9597642989835186,0.14389047195903232
24,0.9697311520356959,0.09964506117378759,0.0003162278,0.9610533149474432,0.13965126085246884
25,0.9700073697061875,0.09944583337958458,0.0003162278,0.9603167343684054,0.14194167019484566
26,0.9704447143282661,0.09775283375482956,0.0003162278,0.9599484443093804,0.1427450419776236
27,0.9696160611905684,0.10167304633750826,0.000100000005,0.9613295324093926,0.1409804341894987
28,0.9686492994755586,0.10207425715072406,0.000100000005,0.9607770972879275,0.14107605079728305
29,0.9704216962283888,0.0998386861842086,3.1622778e-05,0.9616057498713421,0.13887988403096524
