epoch,acc,loss,lr,val_acc,val_loss
0,0.36909584732342576,2.3912735665253915,0.002,0.29849921872784624,3.4033215446439677
1,0.6067120877645334,1.3284833640856217,0.002,0.502071629570681,1.7756240266252536
2,0.7101095659143303,0.9542887853245008,0.002,0.6007734077920265,1.357031935552747
3,0.7663658960107479,0.7577066534714946,0.002,0.7661357142409175,0.7533282466440633
4,0.8031028449979895,0.6314458336959641,0.002,0.7942178430132264,0.6628898066410142
5,0.8391032142732895,0.5215809555785488,0.002,0.7918239579807932,0.6889688737162919
6,0.8592901220117284,0.45085705451616886,0.002,0.8298499230554383,0.5486791982859903
7,0.8804898283920853,0.38043215852343976,0.002,0.8801215374604761,0.40025511676998343
8,0.8975002334028106,0.32645780229830823,0.002,0.7619003761584078,0.8329439784718552
9,0.9066154168939823,0.2908799900738628,0.002,0.8880397780430426,0.3924510634453924
10,0.9113341349833645,0.2751781221872295,0.002,0.8514869727654611,0.5018445337859211
11,0.9219224790810726,0.24538858167125444,0.002,0.859221068219732,0.5068753588067115
12,0.9501887533740656,0.15525412441407374,0.0006324556,0.9298407191587476,0.25727721108416063
13,0.9590967724955705,0.12814494534911686,0.0006324556,0.9477948672906896,0.20711257207494557
14,0.9638845454416116,0.11108015423263623,0.0006324556,0.9514777693297584,0.18870818884988383
15,0.9685342088664131,0.09597984522625004,0.0006324556,0.9477027948253249,0.19904781650577888
16,0.9701454784261863,0.09074091529426956,0.0006324556,0.9526747122356196,0.1801223783980962
17,0.9727695458568204,0.08238314473954444,0.0006324556,0.9547923809146697,0.17555073758829653
18,0.9753015409592886,0.07610233391714194,0.0006324556,0.9507411886190097,0.18692953974016085
19,0.9778795725962764,0.06896320621185609,0.0006324556,0.9512015513409656,0.18543059873343454
20,0.9823681090036355,0.054570053127383104,0.00020000001,0.960040516445468,0.16609117203807297
21,0.9843476684523073,0.04926226355689879,0.00020000001,0.9639075637445431,0.14576656625642842
22,0.9851072669226802,0.045988032677697216,0.00020000001,0.9603167341049836,0.16998437561132534
23,0.9864423187022029,0.043226121699526485,0.00020000001,0.9622502566679068,0.15608254223294724
24,0.9871788991220901,0.04125156407400145,6.3245556e-05,0.9631709824410957,0.15664607892846735
25,0.9882607514846612,0.03805738567016397,6.3245556e-05,0.964552070870385,0.15735053201734994
26,0.987593225578436,0.038859515273810916,2.0000001e-05,0.9644599981415987,0.15346114479351808
27,0.98738606246551,0.03808543568992238,2.0000001e-05,0.9631709823093848,0.15849588441174642
28,0.9886520596325875,0.03744439648516365,6.3245557e-06,0.9644599983391648,0.155379473397872
29,0.9885369691716166,0.0373831203732297,6.3245557e-06,0.9634471999689005,0.15105993529758138
